,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year
12252,Tom Clancy's Splinter Cell,GBA,Ubisoft,Ubisoft,8.0,7.133333333333333,0.1,2003.0
12253,Wolfenstein The Two Pack,PS4,Bethesda Softworks,MachineGames,8.166666666666666,7.833333333333333,0.1,2017.0
12254,TrackMania Turbo,XOne,Ubisoft,Nadeo,6.766666666666667,7.5,0.1,2016.0
12255,Marvel vs. Capcom: Clash of Super Heroes,DC,Capcom,Capcom,8.5,6.0,0.1,1999.0
12256,NBA Ballers: Rebound,PSP,Midway Games,Backbone Entertainment,7.3,7.133333333333334,0.1,2006.0
12257,King's Field: The Ancient City,PS2,Agetec,From Software,6.6,7.233333333333333,0.1,2002.0
12258,LEGO Rock Raiders,PS,LEGO Media,Data Design Interactive,6.0,6.666666666666667,0.1,2000.0
12259,Silent Scope Complete,XB,Konami,Konami,7.0,5.266666666666667,0.1,2004.0
12260,Odin Sphere: Leifthrasir,PS3,Atlus,Vanillaware,7.6000000000000005,6.533333333333334,0.1,2016.0
12261,Ghost in the Shell,PS,THQ,Exact,8.0,9.299999999999999,0.1,1997.0
12262,Divinity: Original Sin,XOne,Focus Home Interactive,Larian Studios,6.266666666666667,6.466666666666666,0.1,2015.0
12263,Tom Clancy's HAWX 2,Wii,Ubisoft,Ubisoft Bucharest,4.0,7.533333333333334,0.1,2010.0
12264,Blades of Time,PS3,Konami Digital Entertainment,Gaijin Games Inc.,5.8,8.6,0.1,2012.0
12265,Evil Dead: Fistfull of Boomstick,XB,THQ,VIS Entertainment,6.833333333333333,6.8,0.1,2003.0
12266,Nicktoons MLB,DS,2K Sports,2K Sports,4.433333333333334,7.466666666666666,0.1,2011.0
12267,Tom Clancy's Classic Trilogy,XB,Ubisoft,Unknown,8.0,7.266666666666667,0.1,2004.0
12268,Harvest Moon DS Cute (jp sales),DS,Natsume,Marvelous Interactive,8.033333333333333,6.900000000000001,0.1,2008.0
12269,Bleach: Dark Souls (JP sales),DS,Sega,"Treasure Co., Ltd.",7.099999999999999,7.066666666666666,0.1,2008.0
12270,Farming Simulator 2011,PC,Unknown,Giants Software,5.466666666666666,7.466666666666666,0.1,2010.0
12271,Indigo Prophecy,XB,Atari,Quantic Dream,8.4,7.6000000000000005,0.1,2005.0
12272,Kiku! Kaku! Kotoba o Fuyasu! Hajimete no Eigo Training,DS,Benesse,Benesse,7.800000000000001,6.966666666666666,0.1,2007.0
12273,Over the Hedge,XB,Activision,Edge of Reality,6.6,6.5,0.1,2006.0
12274,Start the Party! Save the World,PS3,Sony Computer Entertainment,Supermassive Games Ltd.,7.2,6.266666666666667,0.1,2011.0
12275,SCORE International Baja 1000: The Official Game,Wii,Activision,Left Field Productions,6.2,4.033333333333333,0.1,2008.0
12276,Sneakers,XB,Microsoft Game Studios,Media.Vision,2.0,5.5,0.1,2002.0
12277,Crime Crackers,PS,Sony Computer Entertainment,Media.Vision,8.266666666666667,6.366666666666667,0.1,1994.0
12278,NHL 2K6,X360,2K Sports,Kush Games,7.3,6.633333333333334,0.1,2005.0
12279,Thor: God of Thunder,3DS,Sega,WayForward Technologies,6.0,4.2,0.1,2011.0
12280,Guilty Gear Xrd REV 2,PS4,Aksys Games,Arc System Works,7.966666666666666,5.8,0.1,2017.0
12281,Contact,DS,Atlus,Grasshopper Manufacture,7.5,7.3,0.1,2006.0
12282,Micro Machines V3,PS,Midway Games,Codemasters,8.7,6.733333333333333,0.1,1997.0
12283,Dragon Ball: Evolution,PSP,Namco Bandai,Dimps Corporation,3.4,7.733333333333333,0.1,2009.0
12284,College Hoops 2K6,XB,2K Sports,Visual Concepts,8.3,7.900000000000001,0.1,2005.0
12285,"Sakura Wars 2: Kimi, Shinitamou koto Nakare",DC,Sega,Overworks,6.866666666666667,7.433333333333333,0.1,2000.0
12286,"Warhammer 40,000: Dawn of War II - Chaos Rising",PC,THQ,Relic,8.6,6.566666666666666,0.1,2010.0
12287,Idol Janshi Suchie-Pai Remix,SAT,Jaleco,Jaleco,6.333333333333333,7.566666666666667,0.1,1995.0
12288,Big League Sports,Wii,Activision,Koolhaus Games,2.3,6.8,0.1,2008.0
12289,Cubic Ninja,3DS,Ubisoft,AQ Interactive,5.5,5.9,0.1,2011.0
12290,Exhibition Volume 03,XB,Microsoft,Various,7.7,6.8,0.1,2003.0
12291,Zero4 Champ RR-Z,SNES,Media Rings,Media Rings,6.366666666666667,8.133333333333333,0.1,1995.0
12292,Initial D: Street Stage,PSP,Sega,Sega Rosso,4.633333333333333,7.400000000000001,0.1,2006.0
12293,Tales of Innocence R,PSV,Namco Bandai,Alfa System,7.366666666666667,7.733333333333333,0.1,2012.0
12294,Nancy Drew: The Model Mysteries,DS,THQ,THQ,8.5,6.1000000000000005,0.1,2010.0
12295,Harry Potter and the Deathly Hallows - Part 2,PC,Electronic Arts,EA Bright Light,4.3,6.466666666666666,0.1,2011.0
12296,Opoona,Wii,KOEI,ArtePiazza,6.4,6.066666666666666,0.1,2008.0
12297,Predator: Concrete Jungle,XB,VU Games,Eurocom Entertainment Software,5.5,6.7,0.1,2005.0
12298,Sumikko Gurashi: Sumikko Park e Youkoso,NS,Nippon Columbia,Nippon Columbia,9.0,8.766666666666667,0.1,2017.0
12299,May's Mystery: Forbidden Memories,DS,Unknown,Mastertronic,6.533333333333334,7.333333333333333,0.1,2011.0
12300,NatGeo Challenge! Wild Life,PS3,D3 Publisher,Gusto Games,7.666666666666667,6.2,0.1,2010.0
12301,System Flaw,DS,Storm City Games,Visual Impact,4.866666666666666,5.833333333333333,0.1,2009.0
12302,Lucky * Star: Ryouou Gakuen Outousai,PS2,Kadokawa Shoten,Type-Moon,8.233333333333333,7.8999999999999995,0.1,2008.0
12303,SpongeBob: HeroPants,X360,Activision,Behaviour Interactive,7.8999999999999995,6.366666666666667,0.1,2015.0
12304,Rapala Pro Bass Fishing 2010,DS,Activision,Activision,6.466666666666666,8.166666666666666,0.1,2010.0
12305,Naruto Shippuuden: Gekitou Ninja Taisen! EX,Wii,Takara Tomy,8ing/Raizing,7.266666666666667,5.433333333333334,0.1,2007.0
12306,Universal Studios Theme Parks Adventure,GC,Kemco,Kemco,5.1,7.3999999999999995,0.1,2001.0
12307,Nihon Keizai Shinbunsha Kanshuu: Shiranai Mamade wa Son o Suru Mono ya Okane no Shikumi DS,DS,Nintendo,Nintendo,7.233333333333333,7.666666666666667,0.1,2009.0
12308,Fifi and the Flowertots,DS,Avanquest,Avanquest Software,4.766666666666667,3.3333333333333335,0.1,2009.0
12309,Just Dance 2018,X360,Ubisoft,Ubisoft Paris,7.433333333333334,6.0,0.1,2017.0
12310,Piglet's Big Game,PS2,Gotham Games,Doki Denki,5.8999999999999995,6.633333333333333,0.1,2003.0
12311,Ben 10 Galactic Racing,X360,D3 Publisher,Monkey Bar Games,4.3999999999999995,7.2,0.1,2011.0
12312,Mystery Stories: Curse of the Ancient Spirits,DS,Unknown,Avanquest Software,5.633333333333333,7.099999999999999,0.1,2011.0
12313,MySims SkyHeroes,X360,Electronic Arts,The Sims Studio,7.0,8.200000000000001,0.1,2010.0
12314,Real Bout Garou Densetsu,SAT,SNK,SNK Corporation,8.666666666666666,8.433333333333332,0.1,1996.0
12315,Cate West: The Vanishing Files,DS,Destineer,Magellan Interactive,4.5,6.833333333333333,0.1,2008.0
12316,Project FIFA World Cup,PS2,EA Sports,Electronic Arts,6.266666666666667,7.833333333333333,0.1,2002.0
12317,The BIGS 2,PSP,2K Sports,Blue Castle Games,6.8,4.266666666666667,0.1,2009.0
12318,Rocky: Legends,XB,Ubisoft,Venom Games,8.833333333333334,6.900000000000001,0.1,2004.0
12319,Lord of Apocalypse,PSP,Square Enix,Access Games,8.033333333333333,6.933333333333334,0.1,2011.0
12320,Jikkyou Powerful Pro Yakyuu 2013,PSV,Konami Digital Entertainment,Konami,6.3999999999999995,7.366666666666667,0.1,2013.0
12321,NeverDead,X360,Konami,Rebellion Developments,3.0,7.133333333333334,0.1,2012.0
12322,Famicom Mini: Famicom Tantei Club Part II - Ushiro ni Tatsu Shoujo Zenkouhen,GBA,Nintendo,Nintendo,8.333333333333334,8.066666666666668,0.1,2004.0
12323,Higurashi no Nakukoru ni Kizuna: Dai-Ni-Kan - Sou,DS,Alchemist,Alchemist,8.366666666666665,6.066666666666667,0.1,2008.0
12324,Star Trek: Shattered Universe,PS2,TDK Mediactive,Starsphere Interactive,3.9,7.2,0.1,2004.0
12325,Who Wants to Be A Millionaire?,X360,Ubisoft,Ubisoft,7.966666666666666,7.366666666666666,0.1,2011.0
12326,Fantasia: Music Evolved,X360,Disney Interactive Studios,Harmonix Music Systems,7.7,7.166666666666667,0.1,2014.0
12327,Pajama Sam: Don't Fear the Dark,Wii,Majesco,Mistic Studios,7.233333333333333,7.199999999999999,0.1,2008.0
12328,The Land Before Time: Great Valley Racing Adventure,PS,TDK Mediactive,Vision Scape,7.1000000000000005,6.533333333333334,0.1,2001.0
12329,The Walking Dead: Season Two,X360,Telltale Games,Telltale Games,8.700000000000001,7.866666666666667,0.1,2014.0
12330,King of Clubs: Mini Golf,Wii,Crave Entertainment,Oxygen Interactive,4.766666666666667,6.833333333333333,0.1,2008.0
12331,Ultra Street Fighter IV,PS4,Sony Computer Entertainment,Capcom,7.1,6.2,0.1,2015.0
12332,Let's Sing 2016,PS4,Ravenscourt,Voxler,6.433333333333334,6.866666666666667,0.1,2015.0
12333,Disney Sing It! High School Musical 3: Senior Year,X360,Disney Interactive Studios,Zoe Mode,6.5,8.566666666666665,0.1,2009.0
12334,The Smurfs 2,WiiU,Ubisoft,Way Forward,7.333333333333333,5.933333333333334,0.1,2013.0
12335,MTX Mototrax,XB,Activision,Left Field Productions,7.666666666666667,5.933333333333334,0.1,2004.0
12336,Blast Chamber,PS,Activision,Attention To Detail,8.366666666666665,7.900000000000001,0.1,1996.0
12337,Championship Pony,DS,"Destination Software, Inc",Unknown,5.0,6.8999999999999995,0.1,2008.0
12338,EyeToy: Operation Spy,PS2,Sony Computer Entertainment,SCEE London Studio,6.0,7.833333333333333,0.1,2005.0
12339,Petz Hamsterz Superstarz,DS,Ubisoft,Ubisoft,6.2,7.466666666666666,0.1,2009.0
12340,Sega Genesis Classics,XOne,Sega,Sega,7.3,7.3,0.1,2018.0
12341,MotoGP 07,PS2,Capcom,Milestone S.r.l.,5.6000000000000005,6.233333333333333,0.1,2007.0
12342,Escape Dead Island,PS3,Deep Silver,Fatshark,6.3999999999999995,7.333333333333333,0.1,2014.0
12343,Bejeweled Twist,DS,PopCap Games,Griptonite Games,7.0,7.3,0.1,2010.0
12344,Option Tuning Car Battle,PS,MTO,Unknown,5.7,6.733333333333333,0.1,1998.0
12345,Harvest Moon: Frantic Farming,DS,Natsume,Natsume,7.0,7.3,0.1,2009.0
12346,Kuroko no Basuke: Miracles to Victory,3DS,Namco Bandai Games,Bandai Namco Games,5.633333333333333,5.8999999999999995,0.1,2014.0
12347,Resident Evil 4,PS4,Capcom,Capcom,8.2,8.2,0.1,2016.0
12348,The Secret Saturdays: Beasts of the 5th Sun,Wii,D3 Publisher,High Voltage Software,6.7,8.166666666666666,0.1,2009.0
12349,Derby Jockey 2,SNES,Asmik Corp,Muse Soft,6.133333333333333,6.5,0.1,1995.0
12350,Resident Evil: Revelations 2,X360,Capcom,Capcom,7.466666666666666,7.533333333333334,0.1,2015.0
12351,Star Wars: Lethal Alliance,DS,Ubisoft,Ubisoft Casablanca,4.5,6.033333333333334,0.1,2006.0
12352,Dead or Alive 5 Last Round,XOne,Tecmo Koei,Team Ninja,7.5,7.833333333333333,0.1,2015.0
12353,Tornado Outbreak,Wii,Konami,Loose Cannon Studios,8.1,7.266666666666667,0.1,2009.0
12354,Blue Dragon: Awakened Shadow,DS,D3 Publisher,Mistwalker Corporation / tri-Crescendo / Bird Studio,5.7,7.300000000000001,0.1,2010.0
12355,Famicom Mini: Mappy,GBA,Nintendo,Namco,8.9,8.366666666666667,0.1,2004.0
12356,Happy Feet Two,X360,Warner Bros. Interactive,KMM Games,6.033333333333334,6.333333333333333,0.1,2011.0
12357,iCarly 2: iJoin The Click!,Wii,Activision,Blitz Games,7.066666666666666,7.466666666666666,0.1,2010.0
12358,Reign of Fire,XB,BAM! Entertainment,Kuju Entertainment,6.0,5.933333333333333,0.1,2002.0
12359,Pro Evolution Soccer 2017,XOne,Konami Digital Entertainment,PES Productions,8.7,5.8,0.1,2016.0
12360,Descent Maximum,PS,Interplay,Parallax Software,7.5,7.633333333333333,0.1,1997.0
12361,Cartoon Network: Punch Time Explosion,3DS,Crave Entertainment,Papaya Studios,5.6,5.7,0.1,2011.0
12362,Dead or Alive 5 Plus,PSV,Tecmo Koei,Team Ninja,8.0,8.0,0.1,2013.0
12363,Pro Evolution Soccer 2013,Wii,Konami Digital Entertainment,Konami,8.033333333333333,6.599999999999999,0.1,2012.0
12364,Digimon World DS,DS,Namco Bandai,Namco Bandai Games America,6.8,7.766666666666666,0.1,2006.0
12365,Dora's Cooking Club,DS,2K Play,2K Play,7.0,7.6000000000000005,0.1,2010.0
12366,Shining Force EXA,PS2,Sega,Neverland,7.0,7.166666666666667,0.1,2007.0
12367,Virtual Pro Wrestling,PS,Asmik Ace Entertainment,Aki Corporation,6.366666666666667,7.133333333333333,0.1,1996.0
12368,Hakuoki: Demon of the Fleeting Blossom,PSP,Aksys Games,Idea Factory,6.266666666666667,5.933333333333334,0.1,2012.0
12369,Shadow Tower,PS,Agetec,From Software,5.7,7.066666666666666,0.1,1999.0
12370,Horse Life Adventures,DS,Valcon Games,NEKO Entertainment Yullaby,6.6000000000000005,7.966666666666666,0.1,2009.0
12371,Luminous Arc 2 (JP sales),DS,Atlus,imageepoch Inc.,6.3,7.466666666666666,0.1,2008.0
12372,Utawarerumono: Mask of Truth,PSV,Atlus,Aqua Plus,6.066666666666666,7.133333333333333,0.1,2017.0
12373,CSI: Hard Evidence,X360,Ubisoft,Telltale Games,7.066666666666666,5.0,0.1,2007.0
12374,Watchmen: The End is Nigh Part 1 & 2,X360,Warner Bros. Interactive,Deadline Games,5.699999999999999,7.566666666666666,0.1,2009.0
12375,Kuroko's Basketball: Ties to Future,3DS,Namco Bandai Games,Bandai Namco Games,5.633333333333333,5.8999999999999995,0.1,2015.0
12376,Resident Evil: Origins Collection,XOne,Capcom,Capcom,7.466666666666666,7.133333333333333,0.1,2016.0
12377,Ford Racing 3,DS,Empire Interactive,Visual Impact,5.0,8.066666666666666,0.1,2005.0
12378,Persona Q2: New Cinema Labyrinth,3DS,Atlus,Atlus,7.666666666666667,6.7,0.1,2019.0
12379,Ice Age 2: The Meltdown,XB,Vivendi Games,Eurocom?яEntertainment?яSoftware,6.8,7.5,0.1,2006.0
12380,Guilty Gear Isuka,PS2,Sammy Corporation,Arc System Works,7.2,8.1,0.1,2004.0
12381,Shadow Master,PS,Sony Computer Entertainment,Hammerhead,4.0,6.266666666666667,0.1,1997.0
12382,Global Touring Challenge: Africa,PS2,Majesco,Rage Software,7.5,8.666666666666666,0.1,2002.0
12383,Man vs. Wild,X360,Crave Entertainment,Scientifically Proven,4.2,6.733333333333334,0.1,2011.0
12384,Sword Art Online: Fatal Bullet,XOne,Namco Bandai Games,Dimps Corporation,7.2,7.2,0.1,2018.0
12385,Classic NES Series: Excitebike,GBA,Nintendo,Nintendo,6.4,6.666666666666667,0.1,2004.0
12386,Young Justice: Legacy,PS3,Warner Bros. Interactive Entertainment,Freedom Factory Studios,4.8,7.133333333333333,0.1,2013.0
12387,Tokimeki Memorial: Taisen Pazurudama,PS,Konami,Konami,8.1,6.666666666666667,0.1,1996.0
12388,The Legend of Heroes: Trails in the Sky,PSP,Xseed Games,Nihon Falcom Corporation,8.1,7.533333333333334,0.1,2011.0
12389,Shantae and the Pirate's Curse,3DS,WayForward Technologies,WayForward Technologies,7.7,8.5,0.1,2016.0
12390,Heatseeker,Wii,Codemasters,IR Gurus,5.5,7.099999999999999,0.1,2007.0
12391,MotoGP 2,XB,THQ,Climax Group,8.8,7.266666666666666,0.1,2003.0
12392,Pro Yakyuu Famista DS,DS,Namco Bandai,Bandai Namco Games,7.433333333333334,6.3999999999999995,0.1,2007.0
12393,Ultimate Muscle - The Kinnikuman Legacy: The Path of the Superhero,GBA,Bandai,Banpresto,7.566666666666666,7.133333333333333,0.1,2003.0
12394,Emergency 2012,PC,THQ,Quadriga Games,6.233333333333333,6.566666666666667,0.1,2011.0
12395,PAC-MAN and the Ghostly Adventures,3DS,Namco Bandai Games,Inti Creates,8.799999999999999,5.800000000000001,0.1,2013.0
12396,National Geographic Challenge!,Wii,Ignition Entertainment,Gusto Games,6.0,4.6000000000000005,0.1,2011.0
12397,Power Stone Collection,PSP,Capcom,Capcom,7.0,8.533333333333333,0.1,2006.0
12398,D??racin??,PS4,Sony Interactive Entertainment,From Software,6.366666666666667,7.433333333333334,0.1,2018.0
12399,Ninja Reflex,DS,Electronic Arts,Sanzaru Games,6.0,5.333333333333333,0.1,2008.0
12400,Squinkies 2: Adventure Mall Surprize!,DS,Activision,Activision,6.2,6.933333333333333,0.1,2011.0
12401,Paws & Claws: Pet Vet,Wii,THQ,ValuSoft,6.833333333333333,6.966666666666666,0.1,2009.0
12402,Hyperdimension Idol Neptunia PP,PSV,Namco Bandai Games,Idea Factory,6.3999999999999995,7.566666666666667,0.1,2014.0
12403,Ar tonelico: Melody of Elemia,PS2,Nippon Ichi Software,Gust,7.0,6.133333333333333,0.1,2007.0
12404,Gundam Breaker,PSV,Namco Bandai Games,Bandai,8.533333333333333,8.200000000000001,0.1,2013.0
12405,NASCAR,PSP,EA Sports,EA Tiburon,7.2,3.9,0.1,2006.0
12406,Sol Trigger,PSP,Image Epoch,Image Epoch,6.866666666666667,7.099999999999999,0.1,2012.0
12407,Darkest of Days,X360,Phantom EFX,8MonkeyLabs,4.6,6.7,0.1,2009.0
12408,Kiniro no Corda 3,PSP,KOEI,Koei,6.599999999999999,8.133333333333333,0.1,2010.0
12409,Castlevania Double Pack,GBA,Konami,KCET,9.0,8.566666666666666,0.1,2006.0
12410,Skylanders: Spyro's Adventure,PC,Activision,Toys for Bob,7.633333333333333,5.233333333333333,0.1,2011.0
12411,Ballistic: Ecks vs. Sever,GBA,BAM! Entertainment,Crawfish Interactive,7.3,7.666666666666667,0.1,2002.0
12412,"Blast Works: Build, Trade, Destroy",Wii,Majesco,BudCat Creations,8.2,5.2,0.1,2008.0
12413,Touch Detective,DS,Atlus,"BeeWorks Co., Ltd.",5.5,7.2,0.1,2006.0
12414,Alvin and the Chipmunks: The Squeakquel,Wii,Majesco,ImaginEngine,8.666666666666666,7.633333333333333,0.1,2009.0
12415,Jikkyou Powerful Pro Yakyuu 11,GC,Konami,Diamond Head,7.0,6.5,0.1,2004.0
12416,Steel Battalion,XB,Capcom,"Capcom Production Studio 4 / Nude Maker Co., Ltd.",7.7,7.300000000000001,0.1,2002.0
12417,Battlefield V,PC,Electronic Arts,EA DICE,8.1,2.8,0.1,2018.0
12418,Street Fighter Collection,PS,Capcom,Capcom,7.0,8.200000000000001,0.1,1997.0
12419,Digimon Story: Super Xros Wars Blue/Red,DS,Namco Bandai,Namco Bandai Games,6.8,7.766666666666666,0.1,2011.0
12420,Rio,X360,THQ,TBA,6.6000000000000005,5.933333333333334,0.1,2011.0
12421,Ultimate Marvel vs. Capcom 3,PS3,Capcom,Capcom,7.666666666666667,7.2,0.1,2011.0
12422,Tennis no Oji-Sama: Motto Gakuensai no Ouji-Sama - More Sweet Edition,DS,Konami,Silicon Studio,7.933333333333334,7.133333333333333,0.1,2010.0
12423,SNK vs. Capcom Card Fighters DS,DS,SNK Playmore,SNK Playmore Corporation,3.5,7.3999999999999995,0.1,2007.0
12424,MX SuperFly featuring Ricky Carmichael,XB,THQ,Pacific Coast Power & Light,7.866666666666667,7.233333333333333,0.1,2002.0
12425,Gokuhou!! Mecha Mote Iinchou: MM Town de Miracle Change!,DS,Konami,Konami,7.7,6.8999999999999995,0.1,2009.0
12426,Medal of Honor: Vanguard,Wii,Electronic Arts,EA Los Angeles,7.833333333333333,6.133333333333333,0.1,2007.0
12427,Yooka-Laylee,XOne,Sold Out,Playtonic Games,7.3,9.3,0.1,2017.0
12428,Real Farm,XOne,Soedesco,Triangle Studios,6.066666666666666,8.033333333333333,0.1,2017.0
12429,Supremacy MMA,PSV,505 Games,Kung Fu Factory,5.666666666666667,6.1000000000000005,0.1,2012.0
12430,MindJack,X360,Square Enix,FeelPlus,4.5,7.7,0.1,2011.0
12431,Imagine: Reporter,DS,Ubisoft,Visual Impact,3.3666666666666667,8.133333333333333,0.1,2010.0
12432,Code Lyoko: Quest for Infinity,Wii,Game Factory,Neko Entertainment,5.5,6.833333333333333,0.1,2007.0
12433,Minority Report: Everybody Runs,XB,Activision,Treyarch,6.0,7.5,0.1,2002.0
12434,Kouchuu Ouja Mushi King: Super Collection,DS,Sega,Sega,5.833333333333333,7.333333333333333,0.1,2007.0
12435,Slime Rancher,XOne,Skybound Games,Monomi Park,5.966666666666666,7.699999999999999,0.1,2018.0
12436,thinkSMART,DS,Conspiracy Entertainment,Conspiracy Entertainment,8.233333333333333,8.066666666666666,0.1,2010.0
12437,Disney Planes Fire & Rescue,3DS,Disney Interactive Studios,Little Orbit,6.266666666666667,6.466666666666666,0.1,2014.0
12438,Lost Dimension,PSV,Atlus,Lancarse,7.2,7.8,0.1,2015.0
12439,Kung Fu Panda 2,PS3,THQ,THQ,3.5,7.8999999999999995,0.1,2011.0
12440,Shox,PS2,Electronic Arts,Electronic Arts,7.8,7.2,0.09,2002.0
12441,Glory Days 2,DS,Secret Stash Games,Odenis Studio,8.0,8.133333333333333,0.09,2007.0
12442,Nights of Azure 2,PS4,Tecmo Koei,Gust,6.666666666666667,6.933333333333334,0.09,2017.0
12443,The Technomancer,PS4,Focus Home Interactive,Spiders,6.0,6.7,0.09,2016.0
12444,Unou no Tatsujin: Soukai! Machigai Museum 2,DS,Namco Bandai,Bandai Namco Games,6.366666666666667,6.433333333333333,0.09,2007.0
12445,Playboy: The Mansion,XB,ARUSH Entertainment,Cyberlore Studios,6.9,7.166666666666667,0.09,2005.0
12446,Neo Atlas,PS,ArtDink,Flip Flop Production,6.633333333333333,6.666666666666667,0.09,1998.0
12447,Disney's Aladdin in Nasira's Revenge,PS,Sony Computer Entertainment,Argonaut Games,6.533333333333334,7.1000000000000005,0.09,2001.0
12448,SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,GC,Activision,MagicWand,6.0,5.566666666666666,0.09,2005.0
12449,SingStar Guitar,PS3,Sony Computer Entertainment,SCEE London Studio,6.8999999999999995,7.400000000000001,0.09,2010.0
12450,Summon Night 6: Lost Borders,PSV,Gaijinworks,Media.Vision,6.366666666666667,7.266666666666667,0.09,2017.0
12451,Winning Post 6,PS2,KOEI,Koei/Inis,8.433333333333334,7.7,0.09,2003.0
12452,Family Party: 30 Great Games,Wii,D3 Publisher,Tamsoft Corporation,6.3,6.900000000000001,0.09,2008.0
12453,Nickelodeon Kart Racers,XOne,GameMill Entertainment,Solutions 2 Go,4.9,6.3,0.09,2018.0
12454,Whacked!,XB,Microsoft Game Studios,Presto Studios,6.6,7.0,0.09,2002.0
12455,Barnyard,PS2,THQ,Blue Tongue,6.7,6.833333333333333,0.09,2006.0
12456,Field & Stream: Total Outdoorsman Challenge,X360,505 Games,Beast Studios S.r.l.,5.233333333333333,2.466666666666667,0.09,2010.0
12457,Teenage Mutant Ninja Turtles: Mutants in Manhattan,X360,Activision,PlatinumGames,5.633333333333333,6.566666666666666,0.09,2016.0
12458,F.E.A.R. 2: Project Origin,PC,Warner Bros. Interactive,Monolith Productions,8.2,8.5,0.09,2009.0
12459,Pac-Man World 3,GC,Namco,Blitz Games,5.933333333333334,7.099999999999999,0.09,2005.0
12460,Galactic Taz Ball,DS,Warner Bros. Interactive,WayForward Technologies,7.133333333333333,6.566666666666667,0.09,2010.0
12461,Rocky,GC,Ubisoft,Steel Monkeys,7.0,7.333333333333333,0.09,2002.0
12462,Crash 'N' Burn,XB,Eidos Interactive,Climax Group,8.9,7.7,0.09,2004.0
12463,Johnny Bravo in The Hukka-Mega-Mighty-Ultra-Extreme Date-O-Rama,DS,Mumbo Jumbo,EM Studios Limited,5.7,6.8,0.09,2009.0
12464,We Happy Few,XOne,Gearbox Software,Compulsion Games,6.4,5.3,0.09,2018.0
12465,Duke Nukem 3D: 20th Anniversary World Tour,XOne,Gearbox Software,Gearbox Software,6.6000000000000005,5.3,0.09,2016.0
12466,NFL Blitz 20-02,XB,Midway Games,Point of View,8.0,7.033333333333334,0.09,2002.0
12467,Metal Fight Beyblade,DS,Hudson Soft,Hudson Soft,7.333333333333333,8.4,0.09,2009.0
12468,Robots,XB,VU Games,Eurocom Entertainment Software,5.0,7.533333333333334,0.09,2005.0
12469,Little League World Series Baseball 2008,Wii,Activision,Now Production,7.2,7.933333333333334,0.09,2008.0
12470,Speed Kings,PS2,Acclaim Entertainment,Climax Entertainment,5.5,7.233333333333334,0.09,2003.0
12471,Populous DS,DS,Xseed Games,Genki,7.1,7.133333333333333,0.09,2008.0
12472,Raven Squad: Operation Hidden Dagger,X360,Evolved Games,Atomic Motion,8.133333333333333,7.766666666666667,0.09,2009.0
12473,Langrisser V: The End of Legend,SAT,NCS,Career Soft,7.233333333333334,6.666666666666667,0.09,1998.0
12474,Winter Stars,X360,Deep Silver,49Games,4.2,6.133333333333333,0.09,2011.0
12475,Everyday House Tamagotchi,3DS,Namco Bandai Games,Bandai Namco Games,7.599999999999999,7.5,0.09,2012.0
12476,PhotoKano,PSP,Kadokawa Shoten,Kadokawa Shoten,5.833333333333333,6.633333333333334,0.09,2012.0
12477,The Story of Noah's Ark,DS,SouthPeak Interactive,Razorback Developments,7.733333333333333,7.233333333333333,0.09,2010.0
12478,Fresh PreCure! Asobi Collection,DS,Namco Bandai,Bandai Namco Games,4.3,6.766666666666667,0.09,2009.0
12479,Populous: The Beginning,PS,Electronic Arts,Bullfrog Productions,7.0,8.433333333333334,0.09,1999.0
12480,Dungeons,PC,Kalypso,Kalypso Media,6.5,4.6,0.09,2011.0
12481,Chess,PS,Agetec,Success,7.166666666666667,5.033333333333334,0.09,2001.0
12482,The Legend of Heroes: A Tear of Vermillion,PSP,Bandai,Microvision,6.9,4.533333333333334,0.09,2005.0
12483,Rosco McQueen: Firefighter Extreme,PS,Psygnosis,Slippery Snake Studios,4.5,7.3999999999999995,0.09,1998.0
12484,Bladestorm: The Hundred Years' War,X360,KOEI,Omega Force,6.9,8.166666666666666,0.09,2007.0
12485,Terranigma,SNES,Nintendo,Quintet,6.8,7.8,0.09,1996.0
12486,Arcania: Gothic 4,X360,JoWood Productions,Spellbound Entertainment AG,6.2,7.633333333333333,0.09,2010.0
12487,Forever Kingdom,PS2,Agetec,From Software,7.0,5.033333333333334,0.09,2002.0
12488,The Smurfs 2,PS3,Ubisoft,Way Forward,7.333333333333333,5.933333333333334,0.09,2013.0
12489,Blitz: Overtime,PSP,Midway Games,Midway Games,6.2,7.566666666666666,0.09,2006.0
12490,Altered Beast: Guardian of the Realms,GBA,THQ,3d6 Games,6.5,7.166666666666667,0.09,2002.0
12491,Shining Tears,PS2,Sega,Amusement Vision,6.1,6.8,0.09,2005.0
12492,MotoGP,XB,THQ,Climax Group,8.266666666666667,7.566666666666666,0.09,2002.0
12493,Scaler,PS2,Global Star Software,Artificial?яMind?я&?яMovement,8.0,7.3999999999999995,0.09,2004.0
12494,Big League Sports: Summer,Wii,Activision,Koolhaus Games,7.066666666666666,6.8,0.09,2009.0
12495,Gradius V,PS2,Konami,"Treasure Co., Ltd.",7.7,7.7,0.09,2004.0
12496,X-COM: UFO Defense,PS,Microprose,MicroProse,9.0,8.799999999999999,0.09,1995.0
