,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year
97,Call of Duty: Ghosts,PS3,Activision,Infinity Ward,7.5,5.733333333333333,10.13,2013.0
98,Splatoon 2,NS,Nintendo,Nintendo EPD,8.2,8.5,10.13,2017.0
99,Super Mario Party,NS,Nintendo,"Nd Cube Co., Ltd.",7.3,7.5,10.1,2018.0
100,Horizon: Zero Dawn,PS4,Sony Interactive Entertainment,Guerrilla Games,9.1,8.0,10.0,2017.0
101,RollerCoaster Tycoon 3,PC,Atari,Frontier Developments,8.3,4.733333333333333,10.0,2004.0
102,Halo: Reach,X360,Microsoft Game Studios,Bungie,9.3,7.5,9.97,2010.0
103,Portal,PC,Valve Corporation,Valve Software,9.0,7.733333333333333,9.97,2008.0
104,Halo 4,X360,Microsoft Studios,343 Industries,9.8,6.933333333333334,9.96,2012.0
105,Final Fantasy VII,PS,Sony Computer Entertainment,SquareSoft,9.6,9.5,9.9,1997.0
106,Mario Kart 64,N64,Nintendo,Nintendo EAD,8.5,8.8,9.87,1997.0
107,Super Smash Bros. for 3DS,3DS,Nintendo,Bandai Namco Games,8.4,8.733333333333334,9.59,2014.0
108,Call of Duty 4: Modern Warfare,X360,Activision,Infinity Ward,9.6,9.0,9.41,2007.0
109,Gran Turismo 2,PS,Sony Computer Entertainment,Polyphony Digital,9.2,8.133333333333333,9.37,1999.0
110,Wii Party,Wii,Nintendo,"Nd Cube Co., Ltd.",7.0,7.2,9.34,2010.0
111,Call of Duty: Black Ops IIII,PS4,Activision,Treyarch,8.3,4.0,9.32,2018.0
112,Mario Party DS,DS,Nintendo,Hudson Soft,7.1,7.933333333333333,9.31,2007.0
113,Donkey Kong Country,SNES,Nintendo,Rare Ltd.,9.0,8.8,9.3,1994.0
114,Half-Life,PC,Sierra Entertainment,Valve Software,9.5,7.566666666666666,9.3,1998.0
115,Uncharted 3: Drake's Deception,PS3,Sony Computer Entertainment,Naughty Dog,9.3,6.3,9.3,2011.0
116,FIFA 19,PS4,Electronic Arts,EA Sports,8.3,1.7,9.15,2018.0
117,Rust,PC,Facepunch Studios,Facepunch Studios,6.1,6.2,9.02,2018.0
118,The Elder Scrolls V: Skyrim,X360,Bethesda Softworks,Bethesda Game Studios,9.3,7.533333333333334,8.88,2011.0
119,Mario Party 8,Wii,Nintendo,Hudson Soft,6.5,7.933333333333333,8.85,2007.0
120,Pokemon: Ultra Sun and Ultra Moon,3DS,Nintendo,Game Freak,8.1,7.333333333333333,8.77,2017.0
121,Super Mario Kart,SNES,Nintendo,Nintendo EAD,10.0,9.066666666666668,8.76,1992.0
122,Grand Theft Auto V,XOne,Rockstar Games,Rockstar North,9.0,9.0,8.72,2014.0
123,Final Fantasy VIII,PS,Square EA,SquareSoft,9.4,9.666666666666666,8.6,1999.0
124,Final Fantasy X,PS2,Square,SquareSoft,9.0,10.0,8.6,2001.0
125,Pokemon Black 2 and White 2,DS,Nintendo,Game Freak,8.0,8.3,8.52,2012.0
126,Call of Duty: Infinite Warfare,PS4,Activision,Infinity Ward,7.7,3.8,8.48,2016.0
